Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
1.0,azavar,Mohmmad,[Mohmmad],[Mohmmad],N
2.0,azavar,trit,[t-ri-t],[2S-want:ao-2S],V
3.0,azavar,azaʁar,[a-zaʁar],[MFSS-plain],N
4.0,azavar,New_Sentence,New_Sentence,New_Sentence,
5.0,azavar,riχ,[ri-χ],[want:pf-1S],V
6.0,azavar,t,[t],[Obj:3FS],
7.0,azavar,New_Sentence,New_Sentence,New_Sentence,
8.0,azavar,aʁar,[aʁar],[just],
9.0,azavar,rwaħat,[rwaħ-at],[go on:Imper-1P],V
10.0,azavar,azwaj,[a-zwaj],[MFSS-shaking down],N
11.0,azavar,n,[n],[of],
12.0,azavar,zzitun,[zzitun],[olive tree],N
13.0,azavar,a,[a-d],[DemDet-Deic:this],
14.0,azavar,ja,[ja],[here is],
15.0,azavar,New_Sentence,New_Sentence,New_Sentence,
16.0,azavar,(art,[(art],[(ard],
17.0,azavar,tirirn,[t-i-rir-n],[3P-sing:Impf],V
18.0,azavar,ʁ,[ʁ],[in],
19.0,azavar,uʁaras),[u-ʁaras)],[SMCS-path)],N
20.0,azavar,ajla,[ajla],[ajla],
21.0,azavar,New_Sentence,New_Sentence,New_Sentence,
22.0,azavar,la,[la],[la],
23.0,azavar,lajda,[lajda],[lajda],
24.0,azavar,lali,[lali],[lali],
25.0,azavar,New_Sentence,New_Sentence,New_Sentence,
26.0,azavar,a,[a],[Voc],
27.0,azavar,bismi,[bismi],[in the name],N
28.0,azavar,llah,[llah],[God],N
29.0,azavar,u,[u],[and],
30.0,azavar,!rraħman,[!rraħman],[the merciful],N
31.0,azavar,alaj,[alaj],[alaj],
32.0,azavar,da,[da],[da],
33.0,azavar,lali,[lali],[lali],
34.0,azavar,New_Sentence,New_Sentence,New_Sentence,
35.0,azavar,ssalamuʕalajkum,[ssalamuʕalajkum],[peace on you],
36.0,azavar,New_Sentence,New_Sentence,New_Sentence,
37.0,azavar,ʕalajkumssalam,[ʕalajkumssalam],[peace on you],
38.0,azavar,New_Sentence,New_Sentence,New_Sentence,
39.0,azavar,i,[i],[for],
40.0,azavar,!rbbi,[!rbbi],[God],N
41.0,azavar,a,[a],[Voc],
42.0,azavar,sidi,[sidi],[lord],N
43.0,azavar,mat,[mad],[what],
44.0,azavar,tgit,[t-gi-t],[2MS-be:pf-2MS],V
45.0,azavar,izd,[izd],[Interro],
46.0,azavar,a!ʕrab,[a-!ʕrab],[MFSS-arab],N
47.0,azavar,nʁdd,[nʁdd],[or],
48.0,azavar,aʃlħi,[a-ʃlħi],[MFSS-tachlhyit speeker],N
49.0,azavar,New_Sentence,New_Sentence,New_Sentence,
50.0,azavar,la,[la],[no],
51.0,azavar,la,[la],[no],
52.0,azavar,awddi,[awddi],[Interjection],
53.0,azavar,nkki,[nkki],[1S:me],N
54.0,azavar,aʃlħi,[a-ʃlħi],[MFSS-tachlhyit speeker],N
55.0,azavar,ad,[ad],[AD:Comp],
56.0,azavar,giʁ,[gi-ʁ],[be:pf-1S],V
57.0,azavar,New_Sentence,New_Sentence,New_Sentence,
58.0,azavar,manid,[mani-d],[from where],
59.0,azavar,tkkit,[t-kki-t],[2S-come:pf-2S],V
60.0,azavar,a,[a],[Voc],
61.0,azavar,ma,[ma],[what's],
62.0,azavar,jsm,[i-sm],[SMCS-name],N
63.0,azavar,nk,[n-k],[PossDet:2MS],
64.0,azavar,New_Sentence,New_Sentence,New_Sentence,
65.0,azavar,kkiʁd,[kki-ʁ-d],[come:pf-1S-deic],V
66.0,azavar,lʒiht,[l-ʒiht],[the region],N
67.0,azavar,n,[n],[of],
68.0,azavar,u!mzmizi,[u-!mzmizi],[SMCS-Amzmiz],N
69.0,azavar,d,[d],[and],
70.0,azavar,lʒiht,[l-ʒiht],[the region],N
71.0,azavar,n,[n],[of],
72.0,azavar,igdmiwn,[i-gdmi-wn],[PMFS-guests],N
73.0,azavar,izd,[izd],[Interro],
74.0,azavar,ajt,[ajt],[the people],N
75.0,azavar,udrar,[u-drar],[SMCS-the mountain],N
76.0,azavar,at,[ad],[AD:Comp],
77.0,azavar,tgam,[t-ga-m],[2MP-be:pf-2MP],V
78.0,azavar,New_Sentence,New_Sentence,New_Sentence,
79.0,azavar,ijh,[ijh],[yes],
80.0,azavar,i,[i],[for],
