Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
1.0,lHrb,ikkattinn,[ikkattinn],[once upon a time],
2.0,lHrb,ja,[jan],[a:M],
3.0,lHrb,wfruχ,[u-fruχ],[SMCS-boy],N
4.0,lHrb,ur,[ur],[neg],
5.0,lHrb,i!ttif,[i-!ttif],[3MS-have:pf],V
6.0,lHrb,mas,[ma-s],[mother-poss:3S],
7.0,lHrb,ula,[ula],[or],
8.0,lHrb,bbwa,[bbwa-s],[father-poss:3S],N
10.0,lHrb,ur,[ur],[neg],
11.0,lHrb,i!tif,[i-!tif],[3MS-have:pf],V
12.0,lHrb,abla,[abla],[only],
13.0,lHrb,jat,[jat],[one:F],
14.0,lHrb,ultmas,[ultma-s],[sister-poss:3S],N
16.0,lHrb,ttahl,[t-tahl],[3FS-marry:pf],V
17.0,lHrb,igawr,[i-gawr],[3MS-stay:pf],V
18.0,lHrb,ajlliʁ,[ajlliʁ],[until],
19.0,lHrb,i!mqqur,[i-!mqqur],[3MS-grow],V
20.0,lHrb,jini,[i-ini],[3MS-say:ao],V
21.0,lHrb,i,[i],[to],
22.0,lHrb,wltmas,[ultma-s],[sister-poss:3S],
23.0,lHrb,ultma,[ultma],[sister],N
24.0,lHrb,nkki,[nkki],[1S:me],
25.0,lHrb,riʁ,[ri-ʁ],[want:ao-1S],V
26.0,lHrb,at,[ad],[AD:Comp],
27.0,lHrb,tahlʁ,[tahl-ʁ],[marry:pf-1S],V
28.0,lHrb,tini,[t-ini],[2FS-say:pf],V
29.0,lHrb,jas,[i-a-s],[to-dat-3S],
30.0,lHrb,a,[a],[voc],
31.0,lHrb,gwma,[gwma],[brother],N
32.0,lHrb,hati,[hati],[presentative],
33.0,lHrb,urta,[urta],[not yet],
34.0,lHrb,t!zdart,[t-!zdar-t],[2S-be able to:ao],V
35.0,lHrb,i,[i],[to],
36.0,lHrb,zzman,[zzman],[time],N
37.0,,New_Sentence,New_Sentence,New_Sentence,
38.0,lHrb,inna,[i-nna],[3MS-say:pf],V
39.0,lHrb,jas,[i-a-s],[to-dat-3S],
40.0,lHrb,!zdarʁ,[!zdar-ʁ],[be able to:ao-1S],V
41.0,lHrb,as,[a-s],[dat-3S],
42.0,,New_Sentence,New_Sentence,New_Sentence,
43.0,lHrb,tnna,[t-nna],[2FS-say:pf],V
44.0,lHrb,jas,[i-a-s],[to-dat-3S],
45.0,lHrb,ur,[ur],[neg],
46.0,lHrb,as,[a-s],[dat:3MS],V
47.0,lHrb,t!zdart,[t-!zdar-t],[2S-be able:ao-2S],V
48.0,lHrb,i,[i],[to],
49.0,lHrb,ħarbu nnisa,[ħarbu nnisa],[tricks of women],N
51.0,lHrb,iʃqqa,[i-ʃqqa],[3MS-be hard:pf],V
52.0,,New_Sentence,New_Sentence,New_Sentence,
53.0,lHrb,inna,[i-nna],[3MS-say:pf],V
54.0,lHrb,jas,[i-a-s],[to-dat-3S],
55.0,lHrb,ma,[ma],[ma],
56.0,lHrb,jgan,[i-ga-n],[3MS-be:pf-partic],V
57.0,lHrb,ħarbu nnisa,[ħarbu nnisa],[tricks of women],N
59.0,,New_Sentence,New_Sentence,New_Sentence,
60.0,lHrb,tnna,[t-nna],[2FS-say:pf],V
61.0,lHrb,jas,[i-a-s],[to-dat-3S],
62.0,lHrb,sir,[sir],[sir],
63.0,lHrb,a,[a],[voc],
64.0,lHrb,gwma,[gwma],[brother],N
65.0,lHrb,s,[s],[s],
66.0,lHrb,ssuqq,[ssuqq],[market],N
67.0,lHrb,tawidd,[t-awi-dd],[3FS-bring:pf-deic],V
68.0,lHrb,ja,[ja],[ja],
69.0,lHrb,wslm,[w-slm],[SMCS-fish],N
70.0,lHrb,ad,[ad],[AD:Comp],
71.0,lHrb,akt,[a-k-t],[Comp-2S-3S],
72.0,lHrb,mlʁ,[ml-ʁ],[show:pf-1S],V
73.0,lHrb,ʁ,[ʁ],[to],
74.0,lHrb,urgaz,[u-rgaz],[SMCS-man],N
75.0,lHrb,inw,[in-w],[PossDet:1S],
76.0,lHrb,at,[ad],[AD:Comp],
77.0,lHrb,t,[t],[t],
78.0,lHrb,t!zrt,[t-!zr-t],[2FS-see:ao],V
79.0,,New_Sentence,New_Sentence,New_Sentence,
80.0,lHrb,inna,[i-nna],[3MS-say:pf],V
81.0,lHrb,jas,[i-a-s],[to-dat-3S],
82.0,lHrb,waχχa,[waχχa],[even if],
83.0,lHrb,New_Sentence,New_Sentence,New_Sentence,
84.0,lHrb,iftu,[i-ftu],[3MS-go way:pf],V
85.0,lHrb,ssijjid,[ssijjid],[the man],N
86.0,lHrb,lli,[lli],[RelPro],
87.0,lHrb,jawid,[i-awi-d],[3MS-bring:ao],V
88.0,lHrb,aslm,[a-slm],[MFSS-fish],N
89.0,lHrb,t!amzt,[t-!amz-t],[2S-hold:ao],V
90.0,lHrb,ultmas,[ultma-s],[sister-poss 3S],N
91.0,lHrb,tasi,[t-asi],[3FS-take away:pf],V
92.0,lHrb,t,[t],[Obj:3MS],
93.0,lHrb,diss,[di-ss],[with-3S],
94.0,lHrb,tawi,[t-awi],[3FS-bring:pf],V
95.0,lHrb,imkli,[imkli],[lunch],N
96.0,lHrb,i,[i],[i],
97.0,lHrb,wrgaz,[w-rgaz],[SMCS-man],N
98.0,lHrb,ns,[n-s],[PossDet:3S],
99.0,lHrb,imun,[i-mun],[3MS-go with:pf],V
100.0,lHrb,diss,[di-ss],[with-3S],
101.0,lHrb,gwmas,[gwma-s],brother-poss:3S],N
102.0,lHrb,New_Sentence,New_Sentence,New_Sentence,
103.0,lHrb,argaz,[a-rgaz],[MFSS-man],N
104.0,lHrb,nttan,[ntta-n],[3FS:she/her],
105.0,lHrb,ar,[ar],[AR],
106.0,lHrb,ikkrz,[i-kkrz],[3MS-plow:pf],V
107.0,lHrb,taʃkasd,[t-aʃk-as-d],[2S-come in:ao-dat3S-deic],V
108.0,lHrb,ʁ,[ʁ],[to],
109.0,lHrb,uʁaras,[u-ʁaras],[SMCS-path],N
110.0,lHrb,amnid,[a-mnid],[MFSS-in front],N
111.0,lHrb,n,[n],[n],
112.0,lHrb,ʁilli,[ʁilli],[ʁilli],
113.0,lHrb,ʁad,[ʁa-d],[just-deic],
114.0,lHrb,itturraj,[i-tt-u-rraj],[3MS-tt-return],V
115.0,lHrb,iχf,[iχf],[head],N
116.0,lHrb,u!w!drf,[u-!w-!drf],[SMCS-epen-furrow],N
117.0,lHrb,ajlliʁ,[ajlliʁ],[until],
118.0,lHrb,ilkm,[i-lkm],[3MS-arrive:pf],V
119.0,lHrb,iχf,[iχf],[head],N
120.0,lHrb,u!w!drf,[u-!w-!drf],[SMCS-epen-furrow],N
121.0,,New_Sentence,New_Sentence,New_Sentence,
122.0,lHrb,tnna,[t-nna],[2FS-say:pf],V
123.0,lHrb,jas,[i-a-s],[to-dat-3S],
124.0,lHrb,aʒʒnn,[aʒʒ-nn],[leave:ao-3PM],V
125.0,lHrb,a!ram,[a-!ram],[MFSS-camel],N
126.0,lHrb,ʁinna,[ʁinna],[deic],
127.0,lHrb,nit,[nit],[really],
128.0,lHrb,aʃkd,[aʃk-d],[come:Imper-deic],V
129.0,lHrb,at,[ad],[AD:Comp],
130.0,lHrb,tʃʃt,[t-ʃʃ-t],[2S-eat:ao],V
131.0,lHrb,t!χlld,[t-!χlld],[3FS-mix:pf],V
132.0,lHrb,fllas,[flla-s],[on-3MS],
133.0,lHrb,s,[s],[s],
134.0,lHrb,ttisaʕ,[ttisaʕ],[remoteness],N
135.0,lHrb,ʁ,[ʁ],[from],
136.0,lHrb,ussklu,[u-ssklu],[SMCS-ssklu],N
137.0,lHrb,tf,[t-f],[2FS-give:ao],V
138.0,lHrb,i,[i],[i],
139.0,lHrb,wrgaz,[w-rgaz],[SMCS-man],N
140.0,lHrb,ns,[n-s],[PossDet:3S],
141.0,lHrb,a,[ad],[AD:Comp],
142.0,lHrb,jʃʃ,[i-ʃʃ],[3MS-eat:ao],V
143.0,lHrb,lliʁ,[lliʁ],[RelPro],
144.0,lHrb,a,[ad],[AD:Comp],
145.0,lHrb,jʃtta,[i-ʃtta],[3MS-eat:Impf],V
146.0,lHrb,ar,[ar],[AR],
147.0,lHrb,issa,[i-ssa],[3MS-drink:Impf],V
148.0,,New_Sentence,New_Sentence,New_Sentence,
149.0,lHrb,tnna,[t-nna],[2FS-say:pf],V
150.0,lHrb,jas,[i-a-s],[to-dat-3S],
151.0,lHrb,wwargʁ,[wwarg-ʁ],[dream:pf-1S],V
152.0,lHrb,idgwam,[idgwam],[yesterday],N
153.0,lHrb,is,[is],[Interro],
154.0,lHrb,nssufʁ,[n-ss-ufʁ],[1P-caus-go out:pf],V
155.0,lHrb,kra,[kra],[some],
156.0,lHrb,n,[n],[n],
157.0,lHrb,sslukt,[sslukt],[the verses of the Koran],N
158.0,,New_Sentence,New_Sentence,New_Sentence,
159.0,lHrb,inna,[i-nna],[3MS-say:pf],V
160.0,lHrb,jas,[i-a-s],[to-dat-3S],
161.0,lHrb,a,[a],[voc],
162.0,lHrb,bnti,[bnti],[my daughter],N
163.0,lHrb,add,[ad],[AD:Comp],
164.0,lHrb,isahl,[i-sahl],[3MS-be easy:ao],V
165.0,lHrb,sidi,[sidi],[my lord],N
166.0,lHrb,!rbbi,[!rbbi],[God],N
167.0,lHrb,as,[a-s],[dat-3MS],
168.0,lHrb,tt,[tt],[Obj:3FS],
169.0,lHrb,nssufʁ,[n-ss-ufʁ],[1P-caus-go out:pf],V
170.0,lHrb,iχ,[iχ],[if],N
171.0,lHrb,t,[t],[Obj:3MS],
172.0,lHrb,inna,[i-nna],[3MS-say:pf],V
173.0,lHrb,!rbbi,[!rbbi],[God],N
174.0,lHrb,tgllb,[t-gllb],[3FS-overthrow:pf],V
175.0,lHrb,nttat,[ntta-t],[3FS:she/her],
176.0,lHrb,ar,[ar],[AR],
177.0,lHrb,tkkrz,[t-kkrz],[2FS-plow:pf],V
178.0,lHrb,tluħ,[t-luħ],[3FS-throw:pf],V
179.0,lHrb,as,[a-s],[dat-3S],
180.0,lHrb,aslm,[a-slm],[MFSS-fish],N
181.0,lHrb,ʁ,[ʁ],[into],
182.0,lHrb,u!drf,[u-!drf],[SMCS-furrow],N
183.0,lHrb,tnkr,[t-nkr],[t-get up:pf],V
184.0,lHrb,lliʁ,[lli-ʁ],[be:pf-1S],V
185.0,lHrb,iʃʃa,[i-ʃʃa],[3MS-rat:pf],V
186.0,lHrb,wrgaz,[w-rgaz],[SMCS-man],N
187.0,lHrb,ns,[n-s],[PossDet:3S],
188.0,lHrb,tmun,[t-mun],[2MS-go with:pf],V
189.0,lHrb,daʁ,[daʁ],[once again],
190.0,lHrb,d,[d],[and],
191.0,lHrb,gwmas,[gwma-s],brother-poss:3S],N
192.0,lHrb,ar,[ar],[AR],
193.0,lHrb,as,[a-s],[a-s],
194.0,lHrb,jaqqra,[i-aqqra],[3MS-learn:ao],V
195.0,,New_Sentence,New_Sentence,New_Sentence,
196.0,lHrb,inna,[i-nna],[3MS-say:pf],V
197.0,lHrb,jas,[i-a-s],[to-dat-3S],
198.0,lHrb,aʃkid,[aʃk-id],[come:Imper-deic],V
199.0,lHrb,aʃkid,[aʃk-id],[come:Imper-deic],V
200.0,,New_Sentence,New_Sentence,New_Sentence,
201.0,lHrb,tnna,[t-nna],[2FS-say:pf],V
202.0,lHrb,jas,[i-a-s],[to-dat-3S],
203.0,lHrb,ma,[ma],[ma],
204.0,lHrb,jga,[i-ga],[3MS-be:pf],V
205.0,lHrb,ʁajann,[ʁ-aj-ann],[DemPro-Deic:this],
206.0,,New_Sentence,New_Sentence,New_Sentence,
207.0,lHrb,inna,[i-nna],[3MS-say:pf],V
208.0,lHrb,jas,[i-a-s],[to-dat-3S],
209.0,lHrb,ha,[ha],[ha],
210.0,lHrb,jan,[jan],[one:M],
211.0,lHrb,uslm,[u-slm],[SMCS-fish],N
212.0,lHrb,ufiʁ,[ufi-ʁ],[find:pf-1S],V
213.0,lHrb,t,[t],[Obj:3MS],
214.0,lHrb,ʁ,[ʁ],[at],
215.0,lHrb,ngr,[ngr],[between],
216.0,lHrb,i!drfan,[i-!drf-an],[PMFS-groove],N
217.0,lHrb,ʁʁi,[ʁʁi],[here],
218.0,lHrb,awa,[awa],[so],
219.0,lHrb,hija,[hija],[therefore],
220.0,lHrb,sidi,[sidi],[my lord],N
221.0,lHrb,!rbbi,[!rbbi],[God],N
222.0,lHrb,add,[ad],[AD:Comp],
223.0,lHrb,isahln,[i-sahl-n],[which-be easy-n:partic],V
224.0,lHrb,a,[ad],[AD:Comp],
225.0,lHrb,nssufʁ,[n-ss-ufʁ],[1P-caus-go out:pf],V
226.0,lHrb,sslukt,[sslukt],[the verses of the Koran],N
227.0,,New_Sentence,New_Sentence,New_Sentence,
228.0,lHrb,inna,[i-nna],[3MS-say:pf],V
