Order,Text_title,sound,morphemes,Gloss,Category
1.0,lm3rof,mrħbabik,[mrħbabik],[welcome to you],
2.0,lm3rof,a,[a],[Voc],
3.0,lm3rof,jamʁar,[a-mʁar],[MSFS-Community leader],N
4.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
5.0,lm3rof,sttausttin,[stta u sttin],[sixty six],
6.0,lm3rof,mrħba,[mrħba],[welcome],
7.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
8.0,lm3rof,hann,[ha-nn],[presentative-deic],
9.0,lm3rof,l!mʕrof,[l-!mʕrof],[MS:slaughter],N
10.0,lm3rof,iga,[i-ga],[3MS-be:pf],V
11.0,lm3rof,wink,[w-in-k],[PossPron:M/2MS],
12.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
13.0,lm3rof,taqbilt,[t-a-qbil-t],[FSFS:tribe],N
14.0,lm3rof,tga,[t-ga],[3FS-be:pf],V
15.0,lm3rof,tink,[t-in-k],[PossPron:F/2MS],
16.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
17.0,lm3rof,ag,[ad],[AD:Comp],
18.0,lm3rof,gik,[gi-k],[in-2MS],
19.0,lm3rof,ig,[i-g],[3MS-be:aor],V
20.0,lm3rof,!rbbi,[!rbbi],[MS:God],N
21.0,lm3rof,l!baraka,[l-!baraka],[FS:benediction],N
22.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
23.0,lm3rof,awa,[awa],[so],
24.0,lm3rof,a,[a],[Voc],
25.0,lm3rof,gwma,[gwma],[MS:Brother],N
26.0,lm3rof,lʒmaʕt,[l-ʒmaʕ-t],[FS:community],N
27.0,lm3rof,ula,[ula],[as well as],
28.0,lm3rof,taqbilt,[ta-qbil-t],[FSFS:tribe],N
29.0,lm3rof,ħtta,[ħtta],[too],
30.0,lm3rof,nttat,[nttat],[her],
31.0,lm3rof,hati,[hati],[actually],
32.0,lm3rof,fulkint,[fulki-nt],[be pretty:pf-3FP],V
33.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
34.0,lm3rof,ʁrsat,[ʁrs-at],[slay:Imper-2MP],V
35.0,lm3rof,i,[i],[to],
36.0,lm3rof,jχfawn,[iχf-awn],[MP-sheep],N
37.0,lm3rof,ann,[a-nn],[DemDet-Deic:that],
38.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
39.0,lm3rof,!arajat,[!ara-at],[give:Imper2MP],V
40.0,lm3rof,aħuli,[a-ħuli],[MSFS-ram],N
41.0,lm3rof,nna,[nna],[DemDet:That],
42.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
43.0,lm3rof,ʁrsat,[ʁrs-at],[slay:Imper-2MP],V
44.0,lm3rof,as,[a-s],[dat:3MS],
45.0,lm3rof,tʁrsm,[t-ʁrs-m],[2-slay:aor-MP],V
46.0,lm3rof,d,[d],[deic],
47.0,lm3rof,i,[i],[to],
48.0,lm3rof,w!kntur,[u-!kntur],[MSCS-goat],N
49.0,lm3rof,nna,[nna],[DemDet:That],
50.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
51.0,lm3rof,hati,[hati],[really],
52.0,lm3rof,iʒʒi,[i-ʒʒi],[3MS-be fleshy:pf],V
53.0,lm3rof,ʃwija,[ʃwija],[slightly],
54.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
55.0,lm3rof,ssnwujat,[ss-nwu-at],[Caus-cook:Imper-2MP],V
56.0,lm3rof,imik,[imik],[some],
57.0,lm3rof,l,[n],[of],
58.0,lm3rof,l!fdur,[l-!fdur],[MS:breakfast],N
59.0,lm3rof,i,[i],[to],
60.0,lm3rof,wmʁar,[u-mʁar],[MSCS-Community leader],N
61.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
62.0,lm3rof,zzwurat,[ss-zwur-at],[Caus-precede:Imper-2MP],V
63.0,lm3rof,t,[t],[Obj:3MS],
64.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
65.0,lm3rof,ahja,[ahja],[Interj:Hey you!],
66.0,lm3rof,New_Sentence,New_Sentence,New_Sentence,
